3CRR_name IAU_name Redshift Flux178MHz_Jy Sp_index  FR_class Flux5GHzcore_mJy Best_radio_map 
3C252     1108+359 1.105    12.0         1.03      2        1.1             [505]            
3C254     1111+408 0.734    21.7         0.96      2        19              [80]             
3C263     1137+660 0.652    16.6         0.82      2        157             [504]            
3C263.1   1140+223 0.824    19.8         0.87      2        3.2             [530]            
3C264     1142+198 0.0208   28.3         0.75      1        200             [627,515]        
3C265     1142+318 0.8108   21.3         0.96      2        2.89            [503,610,528]    
3C266     1143+500 1.272    12.1         1.01      2        <0.17           [503]            
3C267     1147+130 1.144    15.9         0.93      2        3.0             [503,610]        
3C268.1   1157+732 0.9731   23.3         0.59      2        2.0             [610]            
3C268.3   1203+645 0.371    11.7         0.50      2        1.0             [531]            
3C268.4   1206+439 1.400    11.2         0.80      2        50              [80]             
3C270.1   1218+339 1.519    14.8         0.75      2        190             [527]            
3C272.1   1222+131 0.0029   21.1         0.60      1        180             [70]             
A1552     1227+119 0.0837   12.5         0.94      1        27              [525]            
3C274     1228+126 0.0041   1144.5       0.79      1        4e3             [630]            
3C274.1   1232+216 0.422    18.0         0.87      2        3.0             [533]            
3C275.1   1241+166 0.557    19.9         0.96      2        130             [533]            
3C277.2   1251+159 0.766    13.1         1.02      2        0.48            [503]            
3C280     1254+476 0.996    25.8         0.81      2        1.0             [80]             
3C284     1308+277 0.2394   12.3         0.95      2        3.2             [629,522]        
3C285     1319+428 0.0794   12.3         0.95      2        6               [632]            
3C287     1328+254 1.055    17.8         0.42      0        --              [39]             
3C286     1328+307 0.849    27.3         0.24      0        5554            [534,633]        
3C288     1336+391 0.246    20.6         0.85      1        30              [634]            
3C289     1343+500 0.9674   13.1         0.81      2        10.6            [80]             
3C292     1349+647 0.71     11.0         0.80      2        1.0             [629]            
3C293     1350+316 0.0452   13.8         0.45      1        100             [14]             
3C294     1404+344 1.786    11.2         1.07      2        0.53            [80]             
3C295     1409+524 0.4614   91.0         0.63      2        3               [517]            
3C296     1414+110 0.0237   14.2         0.67      1        77              [636]            
3C299     1419+419 0.367    12.9         0.65      2        1.0             [80]             
3C300     1420+198 0.272    19.5         0.78      2        9               [522]            
3C303     1441+522 0.141    12.2         0.76      2        150             [601]            
3C305     1448+634 0.0417   17.1         0.85      1        <1.0            [506]            
3C309.1   1458+718 0.904    24.7         0.53      2        2350            [534]            
3C310     1502+262 0.0540   60.1         0.92      1        80              [637]            
3C314.1   1510+709 0.1197   11.6         0.95      1        <1.0            [601]            
3C315     1511+263 0.1083   19.4         0.72      1        <150            [506]            
3C318     1517+204 1.574    13.4         0.78      2        <90             [638]            
3C319     1522+546 0.192    16.7         0.90      2        <1.0            [522]            
3C321     1529+242 0.096    14.7         0.60      2        30              [639]            
3C322     1533+557 1.681    11.0         0.81      2        0.3             [537]            
3C324     1547+215 1.2063   17.2         0.90      2        <0.14           [528,640]        
3C326     1549+202 0.0895   22.2         0.88      2        13              [506,623]        
3C325     1549+628 0.86     17.0         0.70      2        2.4             [505]            
3C330     1609+660 0.5490   30.3         0.71      2        0.74            [505]            
NGC6109   1615+351 0.0296   11.7         0.76      1        28              [511,506]        
3C334     1618+177 0.555    11.9         0.86      2        111             [504]            
3C336     1622+238 0.927    12.5         0.73      2        20.4            [504]            
3C341     1626+278 0.448    11.8         0.85      2        1.0             [601]            
3C338     1626+396 0.0303   51.1         1.19      1        105             [642]            
3C340     1627+234 0.7754   11.0         0.73      2        1.1             [529]            
3C337     1627+444 0.635    12.9         0.63      2        0.29            [503,106]        
3C343     1634+628 0.988    13.5         0.37      0        <300            [38]             
3C343.1   1637+626 0.750    12.5         0.32      2        <200            [38]             
